Data;OPERAÇÃO COMERCIAL;Qtde (Metro cúbico);Valor US$ FOB
2009-01-01;IMPORTAÇÃO;1716202.784;504513911
2009-07-01;IMPORTAÇÃO;2102730.728;946402496
2009-06-01;IMPORTAÇÃO;2022056.145;833892016
2009-05-01;IMPORTAÇÃO;2159849.188;731851131
2009-03-01;IMPORTAÇÃO;1748340.303;538287194
2009-11-01;IMPORTAÇÃO;1674080.82;823071332
2009-10-01;IMPORTAÇÃO;1901706.876;888941834
2009-09-01;IMPORTAÇÃO;2446901.465;1173716964
2010-04-01;EXPORTAÇÃO;2865707.219;1313522809
2010-08-01;EXPORTAÇÃO;3346050.786;1392656997
2010-12-01;EXPORTAÇÃO;6093020.0;2815505352
2010-02-01;EXPORTAÇÃO;2817657.0;1233606769
2010-01-01;EXPORTAÇÃO;2369114.0;1014449589
2010-07-01;EXPORTAÇÃO;1673388.459;711758481
2010-06-01;EXPORTAÇÃO;2787806.723;1194755082
2010-05-01;EXPORTAÇÃO;3688684.755;1743693234
2010-03-01;EXPORTAÇÃO;3514758.053;1524449171
2010-11-01;EXPORTAÇÃO;2928768.672;1333048223
2010-10-01;EXPORTAÇÃO;1622016.694;716646334
2010-09-01;EXPORTAÇÃO;2938267.171;1299147999
2010-04-01;IMPORTAÇÃO;1904782.619;1007200490
2010-08-01;IMPORTAÇÃO;1074402.723;561547215
2010-12-01;IMPORTAÇÃO;1404940.95;775761516
2010-02-01;IMPORTAÇÃO;1769524.0;901503799
2010-01-01;IMPORTAÇÃO;1270622.0;630485721
2010-07-01;IMPORTAÇÃO;2361314.615;1117568866
2010-06-01;IMPORTAÇÃO;1822318.38;939907378
2010-05-01;IMPORTAÇÃO;1579962.094;848538859
2010-03-01;IMPORTAÇÃO;1770272.154;874665254
2010-11-01;IMPORTAÇÃO;1632526.067;874878727
2010-10-01;IMPORTAÇÃO;1299304.254;675585348
2010-09-01;IMPORTAÇÃO;1768556.004;888895380
2011-04-01;EXPORTAÇÃO;2469083.75;1536034093
2011-08-01;EXPORTAÇÃO;3689321.763;2396571771
2011-12-01;EXPORTAÇÃO;3948660.25;2527356605
2011-02-01;EXPORTAÇÃO;3146518.0;1677642545
2011-01-01;EXPORTAÇÃO;2293445.203;1188396928
2011-07-01;EXPORTAÇÃO;3156814.0;2023005424
